name,pos_detail,team_full,fa_type,snap_pct,age,prior_apy,prior_gtd,team,pos_group,slug,low,high,midpoint,comp_count,comp_names,method
Arik Armstead,EDGE,Jaguars,Void,56.5,34.0,14500000.0,28000000.0,JAX,EDGE,arik-armstead,7.8,17.9,13.0,8,"['Bud Dupree (age 34, $4.0M)', 'Andrew Van Ginkel (age 32, $23.0M)', 'Khalil Mack (age 36, $18.0M)', 'Al-Quadin Muhammad (age 32, $4.0M)']","8 comps at EDGE, age 31.0-37.0"
Breece Hall,RB,Jets,UFA,61.1,26.0,14293000.0,0.0,NYJ,RB,breece-hall,6.8,10.6,8.5,8,"['James Cook (age 26, $12.0M)', 'Kyren Williams (age 26, $8.0M)', ""D'Andre Swift (age 28, $8.0M)"", 'Josh Jacobs (age 28, $12.0M)']","8 comps at RB, age 23.0-29.0"
Jonathan Taylor,RB,Colts,UFA,82.4,28.0,14000000.0,19347556.0,IND,RB,jonathan-taylor,9.6,17.1,14.4,9,"['Josh Jacobs (age 28, $12.0M)', 'Saquon Barkley (age 29, $20.6M)', ""D'Andre Swift (age 28, $8.0M)"", 'Jordan Mason (age 28, $5.2M)']","9 comps at RB, age 25.0-31.0"
Patrick Queen,LB,Steelers,UFA,95.5,28.0,13666666.0,13840000.0,PIT,LB,patrick-queen,8.2,16.1,8.7,10,"['Jordyn Brooks (age 30, $8.8M)', 'Christian Elliss (age 28, $6.8M)', 'Divine Deablo (age 29, $7.0M)', 'Zaven Collins (age 28, $7.0M)']","10 comps at LB, age 25.0-31.0"
Ben Powers,LG,Broncos,Void,40.7,31.0,13000000.0,27000000.0,DEN,OL,ben-powers,4.8,15.2,10.0,25,"['Kevin Dotson (age 31, $16.0M)', 'Jaylon Moore (age 29, $15.0M)', 'Jawaan Taylor (age 30, $5.0M)', ""Brian O'Neill (age 32, $18.5M)""]","25 comps at OL, age 28.0-34.0"
Grover Stewart,IDL,Colts,UFA,58.7,34.0,13000000.0,17990000.0,IND,IDL,grover-stewart,6.2,19.6,9.8,14,"['Roy Robertson-Harris (age 34, $4.5M)', 'Nathan Shepherd (age 34, $4.3M)', 'Aaron Donald (age 34, $31.7M)', 'David Onyemata (age 35, $10.5M)']","14 comps at IDL, age 31.0-37.0"
Alvin Kamara,RB,Saints,Void,40.7,32.0,12250000.0,19233333.0,NO,RB,alvin-kamara,5.8,15.2,12.8,5,"['Aaron Jones (age 33, $5.6M)', 'Derrick Henry (age 32, $16.0M)', 'Tony Pollard (age 30, $7.2M)', 'Christian McCaffrey (age 30, $19.0M)']","5 comps at RB, age 29.0-35.0"
Travis Kelce,TE,Chiefs,Void,81.0,38.0,12000000.0,12000000.0,KC,TE,travis-kelce,12.3,18.4,13.8,3,"['George Kittle (age 33, $19.1M)', 'Hunter Henry (age 33, $9.0M)', 'Evan Engram (age 33, $11.5M)']","3 comps at TE, age 35.0-41.0"
Grant Delpit,S,Browns,Void,95.9,29.0,12000000.0,14909558.0,CLE,S,grant-delpit,6.2,21.4,8.9,10,"['Jeremy Chinn (age 29, $8.1M)', 'Minkah Fitzpatrick (age 29, $18.4M)', 'Brandon Jones (age 29, $6.7M)', 'Jessie Bates III (age 30, $16.0M)']","10 comps at S, age 26.0-32.0"
Tariq Woolen,CB,Eagles,Void,72.4,28.0,12000000.0,12000000.0,PHI,CB,tariq-woolen,5.3,18.6,16.1,14,"['Jaylon Johnson (age 28, $19.0M)', 'Trevon Diggs (age 28, $16.8M)', 'Cobie Durant (age 29, $4.0M)', 'Greg Newsome II (age 27, $8.0M)']","14 comps at CB, age 25.0-31.0"
Evan Engram,TE,Broncos,Void,40.2,33.0,11500000.0,16500000.0,DEN,TE,evan-engram,6.0,10.4,7.7,6,"['Hunter Henry (age 33, $9.0M)', 'George Kittle (age 33, $19.1M)', 'Dallas Goedert (age 32, $7.0M)', 'Charlie Woerner (age 30, $4.0M)']","6 comps at TE, age 30.0-36.0"
Davon Hamilton,IDL,Jaguars,Void,44.3,30.0,11500000.0,20000000.0,JAX,IDL,davon-hamilton,6.5,18.0,11.5,14,"['Daron Payne (age 30, $22.5M)', 'Tedarrell Slaton (age 30, $7.0M)', 'Harrison Phillips (age 31, $7.5M)', 'Maliek Collins (age 32, $10.0M)']","14 comps at IDL, age 27.0-33.0"
Kirk Cousins,QB,Raiders,Void,49.5,39.0,11300000.0,11300000.0,LV,QB,kirk-cousins,5.0,12.4,5.6,5,"['Matt Stafford (age 39, $40.0M)', 'Joe Flacco (age 42, $6.0M)', 'Marcus Mariota (age 34, $7.0M)', 'Jacoby Brissett (age 35, $6.2M)']","5 comps at QB, age 36.0-42.0"
